# Wordlist

# DATA
ID	ID	ALIGNMENT	COGIDS	CONCEPT	DOCULECT	FORM	SPANISH	TOKENS	VALUE	BORROWING	NOTE	SOURCE
1517		s + w a n	111 3	1PL VERBAL CONDITIONAL	Pacaraos	swan		s + w a n	swan			adelaar1987
1730		tʃ u + w a n	111 3	1PL VERBAL CONDITIONAL	SanPedro	chuwan		tʃ u + w a n	chuwan			shimelman2017
1845		i ʃ + m a n	58 4	1PL VERBAL CONDITIONAL	Santiagueno	yshman		i ʃ + m a n	yshman,nchisman			juanatey2020
1846		n tʃ i s + m a n	58 4	1PL VERBAL CONDITIONAL	Santiagueno	nchisman		n tʃ i s + m a n	yshman,nchisman			juanatey2020
1942		tʃ + w a n	111 3	1PL VERBAL CONDITIONAL	Tarma	chwan		tʃ + w a n	chwan			adelaar1977
2052		tʃ + w a n	111 3	1PL VERBAL CONDITIONAL	Ferrenafe	chwan		tʃ + w a n				taylor1982
2110		n tʃ i + m a n	58 4	1PL VERBAL CONDITIONAL	Chachapoyas	nchi-man		n tʃ i + m a n				taylor1979
2156		n tʃ i + w a n	58 3	1PL VERBAL CONDITIONAL	SanMartin	n-chi-wan		n tʃ i + w a n				coombs1976
2167		n tʃ i + m a n	58 4	1PL VERBAL CONDITIONAL	Imbabura	nchi-man		n tʃ i + m a n				cole1985
2301		n tʃ i k + m a n	58 4	1PL VERBAL CONDITIONAL	Chimborazo	nchikman		n tʃ i k + m a n	nchikman			beukema1975
#
6		ʃ u n - - - -	111	1PL VERBAL FUTURE	Apuri	shun		ʃ u n	shun			shimelman2017
126		s u n + tʃ i s	111 58	1PL VERBAL FUTURE	Apurimac	sunchis		s u n + tʃ i s	sunchis			camacho2006
224		s u n - - - -	111	1PL VERBAL FUTURE	Ayacucho	sun		s u n	sun			parker1969
315		s u n + tʃ i	111 58	1PL VERBAL FUTURE	Azuay	sunchi		s u n + tʃ i	sunchi			cordero1955
392		ʃ - u n - - - -	111	1PL VERBAL FUTURE	Cacra-Hongos	shun		ʃ u n	shun			shimelman2017
507		ʃ - u n - - - -	111	1PL VERBAL FUTURE	Cajamarca	shun		ʃ u n	shun			quesada2006
575		ʃ u n + tʃ i	111 58	1PL VERBAL FUTURE	Chachapoyas	šunči		ʃ u n + tʃ i	šunči			taylor1979
633		ʃ u n + tʃ i k	111 58	1PL VERBAL FUTURE	Chimborazo	šuncik		ʃ u n + tʃ i k	šuncik			beukema1975
788		ç u n	111	1PL VERBAL FUTURE	Ferrenafe	shun		ç u n	shun			taylor1982
868		ʃ - u n - - - -	111	1PL VERBAL FUTURE	Huallaga	šun		ʃ u n	šun		Es posible indicar primera persona plural exclusiva añadiendo /-kuna/ ‘plural’ a /-šaq/ ‘1FUT’, por ejemplo: /aywa-šaq-kuna-paq/ (ir-1FUT-PL-FUT) ‘nosotros (ex.) iremos’.	weber1996
994		ʃ - u n - - - -	111	1PL VERBAL FUTURE	Huanca	shun		ʃ u n	shun			cerron1976
1087		ʃ - u n - - - -	111	1PL VERBAL FUTURE	Huangascar	shun		ʃ u n	shun			shimelman2017
1202		ʃ - u n - - - -	111	1PL VERBAL FUTURE	HuarazHuailas	shun		ʃ u n	shun			parker1976
1274		s u n + tʃ i	111 58	1PL VERBAL FUTURE	Inga	sunchi		s u n + tʃ i	sunchi			tandioy1978
1351		s - u n - - - -	111	1PL VERBAL FUTURE	Laraos	sun		s u n	sun			taylor1990
1405		ʃ - u n - - - -	111	1PL VERBAL FUTURE	Lincha-Tana	shun		ʃ u n	shun			shimelman2017
1518		ç - u n - - - -	111	1PL VERBAL FUTURE	Pacaraos	shun		ç u n	shun			adelaar1987
1602		ʃ - u n - - - -	111	1PL VERBAL FUTURE	Pastaza	shun		ʃ u n	shun			landerman1973
1663		ʃ u n + tʃ i	111 58	1PL VERBAL FUTURE	SanMartin	shunchi		ʃ u n + tʃ i	shunchi, shun, shunsapa		shun: dual; sun-chi, shun-sapa: inclusivo plural	coombs1976
1664		ʃ - u n - - - -	111	1PL VERBAL FUTURE	SanMartin	shun		ʃ u n	shunchi, shun, shunsapa		shun: dual; sun-chi, shun-sapa: inclusivo plural	coombs1976
1665		ʃ u n + s a p a	111 23	1PL VERBAL FUTURE	SanMartin	shunsapa		ʃ u n + s a p a	shunchi, shun, shunsapa		shun: dual; sun-chi, shun-sapa: inclusivo plural	coombs1976
1731		ʃ - u n - - - -	111	1PL VERBAL FUTURE	SanPedro	shun		ʃ u n	shun			shimelman2017
1847		s u + i ʃ	111 58	1PL VERBAL FUTURE	Santiagueno	suysh		s u + i ʃ	suysh,sunchis			juanatey2020
1848		s u n + tʃ i s	111 58	1PL VERBAL FUTURE	Santiagueno	sunchis		s u n + tʃ i s	suysh,sunchis			juanatey2020
1943		ʃ - u n - - - -	111	1PL VERBAL FUTURE	Tarma	shun		ʃ u n	shun			adelaar1977
2168		ʃ u n	111	1PL VERBAL FUTURE	Imbabura	shun		ʃ u n				cole1985
#
7		t a n t a + j	155 156	1S POSSESSOR	Apuri	tanta-y		t a n t a + j	tanta-y			shimelman2017
127		t a n t a + j	155 156	1S POSSESSOR	Apurimac	tanta-y		t a n t a + j	tanta-y			camacho2006
225		t a n t a + j	155 156	1S POSSESSOR	Ayacucho	tanta-y		t a n t a + j	tanta-y		ku for plural	parker1969
393		t a n t a + ø/a	155 31	1S POSSESSOR	Cacra-Hongos	tantaː		t a n t a + ø/a	tantaː			shimelman2017
508		t a n t a + j	155 156	1S POSSESSOR	Cajamarca	tanta-y		t a n t a + j	tanta-y			quesada2006
576		t a n t a + j	155 156	1S POSSESSOR	Chachapoyas	tanta-y		t a n t a + j	tanta-y			taylor1979
694		t a n t a + j	155 156	1S POSSESSOR	Cuzco	tanta-y		t a n t a + j	tanta-y			cusihuaman1976
789		t a n t a + j	155 156	1S POSSESSOR	Ferrenafe	tanta-y		t a n t a + j	tanta-y			taylor1982
869		t a n t a + ø/a	155 31	1S POSSESSOR	Huallaga	tantaː		t a n t a + ø/a	tantaː		Alargamiento después de V corta	weber1996
995		t a n t a + ø/a	155 31	1S POSSESSOR	Huanca	tantaː		t a n t a + ø/a	tantaː			cerron1976
1088		t a n t a + ø/a	155 31	1S POSSESSOR	Huangascar	tantaː		t a n t a + ø/a	tantaː			shimelman2017
1203		t a n t a + ø/a	155 31	1S POSSESSOR	HuarazHuailas	tantaː		t a n t a + ø/a	tantaː		-nii si la raíz = C# /V:#	parker1976
1352		t a n t a + j	155 156	1S POSSESSOR	Laraos	tanta-y		t a n t a + j	tanta-y			taylor1990
1406		t a n t a + j	155 156	1S POSSESSOR	Lincha-Tana	tanta-y		t a n t a + j	tanta-y			shimelman2017
1519		t a n t a + j	155 156	1S POSSESSOR	Pacaraos	tanta-y		t a n t a + j	tanta-y		tras vocal i, hay alargamiento vocálico	adelaar1987
1603		t a n t a + j	155 156	1S POSSESSOR	Pastaza	tanta-y		t a n t a + j	tanta-y		/-ni/ tras C	landerman1973
1666		t a n t a + j	155 156	1S POSSESSOR	SanMartin	tanta-y		t a n t a + j	tanta-y			coombs1976
1732		t a n t a + ø/a	155 31	1S POSSESSOR	SanPedro	tantaː		t a n t a + ø/a	tantaː			shimelman2017
1849		t a n t a + j	155 156	1S POSSESSOR	Santiagueno	tanta-y		t a n t a + j	tanta-y			juanatey2020
1944		t a n t a + ø/a	155 31	1S POSSESSOR	Tarma	tantaː		t a n t a + ø/a	tantaː			adelaar1977
#
9		k a + n i	234 235	1S VERBAL	Apuri	ka-ni		k a + n i	ka-ni			shimelman2017
129		k a + n i	234 235	1S VERBAL	Apurimac	ka-ni		k a + n i	ka-ni			camacho2006
229		k a + n i	234 235	1S VERBAL	Ayacucho	ka-ni		k a + n i	ka-ni		ku for plural	parker1969
318		k a + n i	234 235	1S VERBAL	Azuay	ka-ni		k a + n i	ka-ni			cordero1955
395		k aː + ø/a	234 236	1S VERBAL	Cacra-Hongos	kaː		k aː + ø/a	kaː			shimelman2017
510		k a + n i	234 235	1S VERBAL	Cajamarca	ka-ni		k a + n i	ka-ni			quesada2006
577		k a + n i	234 235	1S VERBAL	Chachapoyas	ka-ni		k a + n i	ka-ni			taylor1979
634		k a + n i	234 235	1S VERBAL	Chimborazo	ka-ni		k a + n i	ka-ni			beukema1975
695		k a + n i	234 235	1S VERBAL	Cuzco	ka-ni		k a + n i	ka-ni			cusihuaman1976
793		k a + n i	234 235	1S VERBAL	Ferrenafe	ka-ni		k a + n i	ka-ni			taylor1982
871		k aː + ø/a	234 236	1S VERBAL	Huallaga	kaː		k aː + ø/a	kaː			weber1996
998		k aː/a + ø/a	234 236	1S VERBAL	Huanca	kaː		k aː/a + ø/a	kaː		verbal person pluralization with -paaku	cerron1976
1090		k aː/a + ø/a	234 236	1S VERBAL	Huangascar	kaː		k aː/a + ø/a	kaː			shimelman2017
1206		k aː/a + ø/a	234 236	1S VERBAL	HuarazHuailas	kaː		k aː/a + ø/a	kaː			parker1976
1277		k a + n i	234 235	1S VERBAL	Inga	ka-ni		k a + n i	ka-ni			tandioy1978
1354		k a + n i	234 235	1S VERBAL	Laraos	ka-ni		k a + n i	ka-ni			taylor1990
1408		k a + n i	234 235	1S VERBAL	Lincha-Tana	ka-ni		k a + n i	ka-ni			shimelman2017
1521		k a + n i	234 235	1S VERBAL	Pacaraos	ka-ni		k a + n i	ka-ni			adelaar1987
1605		k a + n i	234 235	1S VERBAL	Pastaza	ka-ni		k a + n i	ka-ni			landerman1973
1667		k a + n i	234 235	1S VERBAL	SanMartin	ka-ni		k a + n i	ka-ni			coombs1976
1734		k aː/a + ø/a	234 236	1S VERBAL	SanPedro	kaː		k aː/a + ø/a	kaː			shimelman2017
1856		k a + n i	234 235	1S VERBAL	Santiagueno	ka-ni		k a + n i	ka-ni			juanatey2020
1947		k aː/a + ø/a	234 236	1S VERBAL	Tarma	kaː		k aː/a + ø/a	kaː			adelaar1977
2169		k a + n i	234 235	1S VERBAL	Imbabura	ni		k a + n i				cole1985
#
10		ʃ - a q	280	1S VERBAL FUTURE	Apuri	shaq		ʃ a q	shaq			shimelman2017
130		s - a q	280	1S VERBAL FUTURE	Apurimac	saq		s a q	saq			camacho2006
230		s - a χ	280	1S VERBAL FUTURE	Ayacucho	saq		s a χ	saq			parker1969
319		s - a -	280	1S VERBAL FUTURE	Azuay	sa		s a	sa			cordero1955
396		ʃ - a q	280	1S VERBAL FUTURE	Cacra-Hongos	shaq		ʃ a q	shaq			shimelman2017
511		ʃ χ a -	280	1S VERBAL FUTURE	Cajamarca	shqa		ʃ χ a	shqa			quesada2006
578		ʃ - a -	280	1S VERBAL FUTURE	Chachapoyas	ša		ʃ a	ša			taylor1979
635		ʃ - a -	280	1S VERBAL FUTURE	Chimborazo	ša		ʃ a	ša			beukema1975
696		s - a q	280	1S VERBAL FUTURE	Cuzco	saq		s a q	saq			cusihuaman1976
794		ç a q	280	1S VERBAL FUTURE	Ferrenafe	shaq		ç a q	shaq			taylor1982
872		ʃ - a q	280	1S VERBAL FUTURE	Huallaga	šaq		ʃ a q	šaq			weber1996
999		ʃ - a q	280	1S VERBAL FUTURE	Huanca	shaq		ʃ a q	shaq			cerron1976
1091		ʃ - a q	280	1S VERBAL FUTURE	Huangascar	shaq		ʃ a q	shaq			shimelman2017
1207		ʃ - a q	280	1S VERBAL FUTURE	HuarazHuailas	shaq		ʃ a q	shaq			parker1976
1278		s - a -	280	1S VERBAL FUTURE	Inga	sa		s a	sa			tandioy1978
1355		s - a q	280	1S VERBAL FUTURE	Laraos	saq		s a q	saq			taylor1990
1409		ʃ - a q	280	1S VERBAL FUTURE	Lincha-Tana	shaq		ʃ a q	shaq			shimelman2017
1522		ç - a q	280	1S VERBAL FUTURE	Pacaraos	shaq		ç a q	shaq			adelaar1987
1606		ʃ - a -	280	1S VERBAL FUTURE	Pastaza	sha		ʃ a	sha			landerman1973
1668		ʃ - a -	280	1S VERBAL FUTURE	SanMartin	sha		ʃ a	sha		sha-sapa: exclusive	coombs1976
1735		ʃ - a q	280	1S VERBAL FUTURE	SanPedro	shaq		ʃ a q	shaq			shimelman2017
1857		s - a χ	280	1S VERBAL FUTURE	Santiagueno	saq		s a χ	saq		infrequent, periphrastic future is preferred	juanatey2020
1948		ʃ - a q	280	1S VERBAL FUTURE	Tarma	shaq		ʃ a q	shaq			adelaar1977
2170		ʃ a	280	1S VERBAL FUTURE	Imbabura	sha		ʃ a				cole1985
#
12		ʃ - u	337	2S OBJECT	Apuri	shu		ʃ u	shu			shimelman2017
398		ʃ - u	337	2S OBJECT	Cacra-Hongos	shu		ʃ u	shu			shimelman2017
797		ç u	337	2S OBJECT	Ferrenafe	shu		ç u	shu			taylor1982
874		ʃ - u	337	2S OBJECT	Huallaga	šu		ʃ u	šu			weber1996
1093		ʃ - u	337	2S OBJECT	Huangascar	shu		ʃ u	shu			shimelman2017
1411		ʃ - u	337	2S OBJECT	Lincha-Tana	shu		ʃ u	shu			shimelman2017
1523		m u	338	2S OBJECT	Pacaraos	mu		m u	mu			adelaar1987
1737		ʃ - u	337	2S OBJECT	SanPedro	shu		ʃ u	shu			shimelman2017
1859		s - u	337	2S OBJECT	Santiagueno	su		s u	su			juanatey2020
1949		ʃ - u	337	2S OBJECT	Tarma	shu		ʃ u	shu			adelaar1977
2037		s u	337	2S OBJECT	Ayacucho	su		s u				parker1969
2047		ʃ u	337	2S OBJECT	Cajamarca	shu		ʃ u				quesada2006
2113		ʃ u	337	2S OBJECT	Chachapoyas	shu		ʃ u				taylor1979
2153		ʃ u	337	2S OBJECT	SanMartin	shu		ʃ u				coombs1976
2249		ʃ u	337	2S OBJECT	HuarazHuailas	shu		ʃ u				parker1976
2272		s u	337	2S OBJECT	Cuzco	ki		s u				cusihuaman1976
#
13		j k i	348	2S POSSESSOR	Apuri	yki		j k i	yki			shimelman2017
135		- k i	348	2S POSSESSOR	Apurimac	ki		k i	ki			camacho2006
234		j k i	348	2S POSSESSOR	Ayacucho	yki		j k i	yki		ku for plural	parker1969
399		j k i	348	2S POSSESSOR	Cacra-Hongos	yki		j k i	yki			shimelman2017
512		j k i	348	2S POSSESSOR	Cajamarca	yki		j k i	yki			quesada2006
579		i k i	348	2S POSSESSOR	Chachapoyas	yki		i k i	yki			taylor1979
798		i k i	348	2S POSSESSOR	Ferrenafe	yki		i k i	yki			taylor1982
875		j k i	348	2S POSSESSOR	Huallaga	yki		j k i	yki		/-ki/ después de /-i/, /-yki/ después de otras V cortas	weber1996
1000		j k i	348	2S POSSESSOR	Huanca	yki		j k i	yki			cerron1976
1094		j k i	348	2S POSSESSOR	Huangascar	yki		j k i	yki			shimelman2017
1356		i k i	348	2S POSSESSOR	Laraos	yki		i k i	yki			taylor1990
1412		j k i	348	2S POSSESSOR	Lincha-Tana	yki		j k i	yki			shimelman2017
1524		j k i	348	2S POSSESSOR	Pacaraos	yki		j k i	yki,			adelaar1987
1608		j k i	348	2S POSSESSOR	Pastaza	yki		j k i	yki		/-ki/ tras C	landerman1973
1669		j k i	348	2S POSSESSOR	SanMartin	yki		j k i	yki		chi en plural	coombs1976
1738		j k i	348	2S POSSESSOR	SanPedro	yki		j k i	yki			shimelman2017
1860		j k i	348	2S POSSESSOR	Santiagueno	yki		j k i	yki			juanatey2020
1950		j k i	348	2S POSSESSOR	Tarma	yki		j k i	yki			adelaar1977
2239		j k i	348	2S POSSESSOR	HuarazHuailas	yki		j k i				parker1976
2267		j k i	348	2S POSSESSOR	Cuzco	yki		j k i				cusihuaman1976
#
15		n - k i	370	2S VERBAL	Apuri	nki		n k i	nki			shimelman2017
140		n - k i	370	2S VERBAL	Apurimac	nki		n k i	nki			camacho2006
236		n - k i	370	2S VERBAL	Ayacucho	nki		n k i	nki			parker1969
321		n - g i	370	2S VERBAL	Azuay	ngui		n g i	ngui			cordero1955
401		n - k i	370	2S VERBAL	Cacra-Hongos	nki		n k i	nki			shimelman2017
513		n - k i	370	2S VERBAL	Cajamarca	nki		n k i	nki			quesada2006
580		n - k i	370	2S VERBAL	Chachapoyas	nki		n k i	nki			taylor1979
637		n - g i	370	2S VERBAL	Chimborazo	ngi		n g i	ngi			beukema1975
700		n - k i	370	2S VERBAL	Cuzco	nki		n k i	nki			cusihuaman1976
800		n - k i	370	2S VERBAL	Ferrenafe	nki		n k i	nki			taylor1982
877		n - k i	370	2S VERBAL	Huallaga	nki		n k i	nki			weber1996
1001		n - k i	370	2S VERBAL	Huanca	nki		n k i	nki			cerron1976
1096		n - k i	370	2S VERBAL	Huangascar	nki		n k i	nki			shimelman2017
1210		n - k i	370	2S VERBAL	HuarazHuailas	nki		n k i	nki			parker1976
1280		n - g i	370	2S VERBAL	Inga	ngui		n g i	ngui			tandioy1978
1357		n - k i	370	2S VERBAL	Laraos	nki		n k i	nki			taylor1990
1414		n - k i	370	2S VERBAL	Lincha-Tana	nki		n k i	nki			shimelman2017
1526		k i	370	2S VERBAL	Pacaraos	ki		k i	yki			adelaar1987
1609		n - g i	370	2S VERBAL	Pastaza	ngi		n g i	ngi			landerman1973
1671		n - k i	370	2S VERBAL	SanMartin	nki		n k i	nki			coombs1976
1740		n - k i	370	2S VERBAL	SanPedro	nki		n k i	nki			shimelman2017
1862		ŋ - k i	370	2S VERBAL	Santiagueno	nki		ŋ k i	nki			juanatey2020
1952		n - k i	370	2S VERBAL	Tarma	nki		n k i	nki			adelaar1977
2173		n g i	370	2S VERBAL	Imbabura	ngui		n g i				cole1985
#
16		n q a	446	3S FUTURE	Apuri	nqa		n q a	nqa			shimelman2017
144		n q a	446	3S FUTURE	Apurimac	nqa		n q a	nqa			camacho2006
237		n χ a	446	3S FUTURE	Ayacucho	nqa		n χ a	nqa		-qa for all future forms	parker1969
325		n g a	446	3S FUTURE	Azuay	nga		n g a	nga			cordero1955
402		n q a	446	3S FUTURE	Cacra-Hongos	nqa		n q a	nqa			shimelman2017
514		n χ a	446	3S FUTURE	Cajamarca	nqa		n χ a	nqa			quesada2006
640		n g a	446	3S FUTURE	Chimborazo	nga		n g a	nga			beukema1975
808		- g a	446	3S FUTURE	Ferrenafe	nqa		g a	nqa			taylor1982
878		n q a	446	3S FUTURE	Huallaga	nqa		n q a	nqa			weber1996
1002		n q a	446	3S FUTURE	Huanca	nqa		n q a	nqa			cerron1976
1097		n q a	446	3S FUTURE	Huangascar	nqa		n q a	nqa			shimelman2017
1212		n q a	446	3S FUTURE	HuarazHuailas	nqa		n q a	nqa			parker1976
1284		n g a	446	3S FUTURE	Inga	nga		n g a	nga			tandioy1978
1415		n q a	446	3S FUTURE	Lincha-Tana	nqa		n q a	nqa			shimelman2017
1527		n q a	446	3S FUTURE	Pacaraos	nqa		n q a	nqa			adelaar1987
1613		n g a	446	3S FUTURE	Pastaza	nga		n g a	nga			landerman1973
1741		n q a	446	3S FUTURE	SanPedro	nqa		n q a	nqa			shimelman2017
1863		ŋ q a	446	3S FUTURE	Santiagueno	nqa		ŋ q a	nqa		infrequent, periphrastic future is preferred	juanatey2020
1953		n q a	446	3S FUTURE	Tarma	nqa		n q a	nqa			adelaar1977
2072		n q a	446	3S FUTURE	Laraos	nqa		n q a				taylor1990
2115		n k a	446	3S FUTURE	Chachapoyas	nka		n k a				taylor1979
2152		n k a	446	3S FUTURE	SanMartin	nka		n k a				coombs1976
