ID	ID	ALIGNMENT	COGIDS	CONCEPT	DOCULECT	FORM	SPANISH	TOKENS	VALUE	BORROWING	NOTE	SOURCE
73		t a m u	1553	IRREVERSIBLE CHANGE	Apuri	tamu		t a m u	tamu			shimelman2017
75		p aː k u	1561	JOINT ACTION	Apuri	paːku		p aː k u	paku,paːku			shimelman2017
76		k a m a -	1578	LIMITATIVE	Apuri	kama		k a m a	kama			shimelman2017
77		p a	1603	LOCATIVE	Apuri	pa		p a	pa,pi			shimelman2017
78		p i	1603	LOCATIVE	Apuri	pi		p i	pa,pi			shimelman2017
79		k u	1637	MIDDLE VOICE	Apuri	ku		k u	ku		U	shimelman2017
80		s a p a	1656	MULTIPLE POSSESSIVE	Apuri	sapa		s a p a	sapa			shimelman2017
81		p u k u	1676	MUTUAL BENEFIT	Apuri	puku		p u k u	puku			shimelman2017
82		tʃ u	1682	NEGATION	Apuri	chu		tʃ u	chu			shimelman2017
83		n - a	1711	NOMINALIZER NA	Apuri	na		n a	na			shimelman2017
85		m a s - i	1746	PARTNERSHIP	Apuri	masi		m a s i	masi			shimelman2017
86		k a -	1758	PASSIVE ACCIDENTAL	Apuri	ka		k a	ka			shimelman2017
87		ɾ q a	1770	PAST TENSE	Apuri	rqa		ɾ q a	rqa			shimelman2017
88		ʃ - a	1800	PERFECT	Apuri	sha		ʃ a	sha,sa			shimelman2017
89		s - a	1800	PERFECT	Apuri	sa		s a	sha,sa			shimelman2017
90		ʃ - a	1800	PERFECTIVIZER	Apuri	sha		ʃ a	sha,sa		nmlz	shimelman2017
91		s - a	1800	PERFECTIVIZER	Apuri	sa		s a	sha,sa		nmlz	shimelman2017
92		k u n a	1855	PLURAL	Apuri	kuna		k u n a	kuna			shimelman2017
93		- - j o q	1887	POSSESSIVE	Apuri	yuq		j o q	yuq			shimelman2017
94		a m a	1918	PROHIBITIVE	Apuri	ama		a m a	ama			shimelman2017
95		k ai	1927	PROXIMAL DEMONSTRATIVE	Apuri	kay		k ai	kay			shimelman2017
97		ɾ ai k u	1948	REASON	Apuri	rayku		ɾ ai k u	rayku			shimelman2017
98		n a k u	1976	RECIPROCAL	Apuri	naku		n a k u	naku,naka			shimelman2017
99		n a k a	1976	RECIPROCAL	Apuri	naka		n a k a	naku,naka			shimelman2017
100		p a - -	2008	REPETITIVE	Apuri	pa		p a	pa			shimelman2017
101		ʃ q a	2021	REPORTATIVE PAST TENSE	Apuri	shqa		ʃ q a	shqa			shimelman2017
102		ʎ - a	2039	RESTRICTIVE	Apuri	lla		ʎ a	lla			shimelman2017
103		t a q	2063	SEQUENTIAL	Apuri	taq		t a q	taq			shimelman2017
104		t u k u	2082	SIMULATIVE	Apuri	tuku		t u k u	tuku			shimelman2017
105		ʃ t i n	2097	SUBORDINATOR ADVERBIAL	Apuri	shtin		ʃ t i n	shtin			shimelman2017
106		ʃ p a - - -	2113	SUBORDINATOR IDSUB	Apuri	shpa		ʃ p a	shpa			shimelman2017
107		p t i -	2144	SUBORDINATOR DIFFSUB	Apuri	pti		p t i	pti			shimelman2017
108		q a	2178	TOPIC	Apuri	qa		q a	qa			shimelman2017
109		p u	2201	VERBAL BENEFACTIVE	Apuri	pu		p u	pu,pa			shimelman2017
110		p a	2201	VERBAL BENEFACTIVE	Apuri	pa		p a	pu,pa			shimelman2017
111		ɾ a	11	UNINTERRUPTED ACTION	Apuri	ra		ɾ a	ra			shimelman2017
112		ɾ - u	2234	URGENT	Apuri	ru		ɾ u	ru,ra			shimelman2017
113		ɾ - a	2234	URGENT	Apuri	ra		ɾ a	ru,ra			shimelman2017
114		n a	2270	VERBALIZER	Apuri	na		n a	na		some reciprocal action	shimelman2017
115		w a	3	1 OBJECT	Apurimac	wa		w a	wa			camacho2006
116		j - k i	24	1S SUBJECT 2S OBJECT	Apurimac	yki		j k i	yki			camacho2006
118		n tʃ i k	58	1PL POSSESSOR	Apurimac	nchik		n tʃ i k	nchik,nchis			camacho2006
123		n tʃ i s	58	1PL VERBAL	Apurimac	nchis		n tʃ i s	sunchis			camacho2006
126		s u n + tʃ i s	111 58	1PL VERBAL FUTURE	Apurimac	sunchis		s u n + tʃ i s	sunchis			camacho2006
127		t a n t a + j	155 156	1S POSSESSOR	Apurimac	tanta-y		t a n t a + j	tanta-y			camacho2006
129		k a + n i	234 235	1S VERBAL	Apurimac	ka-ni		k a + n i	ka-ni			camacho2006
130		s - a q	280	1S VERBAL FUTURE	Apurimac	saq		s a q	saq			camacho2006
135		- k i	348	2S POSSESSOR	Apurimac	ki		k i	ki			camacho2006
138		w a + n k i	3 370	2S SUBJECT 1S OBJECT	Apurimac	wanki		w a + n k i	wanki, way			camacho2006
139		w ai	3	2S SUBJECT 1S OBJECT	Apurimac	way		w ai	wanki, way			camacho2006
140		n - k i	370	2S VERBAL	Apurimac	nki		n k i	nki			camacho2006
144		n q a	446	3S FUTURE	Apurimac	nqa		n q a	nqa			camacho2006
145		n	466	3S POSSESSOR	Apurimac	n		n	n			camacho2006
146		w a + n + tʃ i s	3 486	3S SUBJECT 1PL OBJECT	Apurimac	wanchis		w a + n + tʃ i s	wanchis, wanku, wanqaku			camacho2006
149		w a + n	3 546	3S SUBJECT 1S OBJECT	Apurimac	wan		w a + n	wan, wanqa			camacho2006
150		w a + n	3 546	3S SUBJECT 1S OBJECT	Apurimac	wanqa		w a + n	wan, wanqa		-qa is only the topic marker	camacho2006
151		s u + n k i	337 528	3S SUBJECT 2S OBJECT	Apurimac	sunki		s u + n k i	sunki			camacho2006
152		n	546	3S VERBAL	Apurimac	n		n	n			camacho2006
153		m a n t a	571	ABLATIVE	Apurimac	manta		m a n t a	manta			camacho2006
154		j s i	598	ACCOMPANIMENT	Apurimac	ysi		j s i	ysi			camacho2006
155		- t a	614	ACCUSATIVE	Apurimac	ta		t a	ta			camacho2006
156		p a s	639	ADDITIVE	Apurimac	pas		p a s	pas			camacho2006
157		q	674	AGENTIVE	Apurimac	q		q	q			camacho2006
158		s u - -	710	AUGMENTATIVE	Apurimac	su		s u	su, sara			camacho2006
159		s a r a	710	AUGMENTATIVE	Apurimac	sara		s a r a	su, sara			camacho2006
160		p a q -	720	BENEFACTIVE	Apurimac	paq		p a q	paq			camacho2006
161		tʃ i	766	CAUSATIVE	Apurimac	chi		tʃ i	chi			camacho2006
162		p u n i	787	ASSERTIVE	Apurimac	puni		p u n i	puni			camacho2006
163		m u	800	CISLOCATIVE	Apurimac	mu		m u	mu			camacho2006
164		m u	800	CISLOCATIVE	Apurimac	mu		m u	mu			camacho2006
165		m a n	853	CONDITIONAL	Apurimac	man		m a n	man			camacho2006
166		r a q -	877	CONTINUATIVE	Apurimac	raq		r a q	raq			camacho2006
167		r a j a	8	UNINTERRUPTED ACTION	Apurimac	raya		r a j a	raya			camacho2006
168		m a n	911	DATIVE/ILATIVE	Apurimac	man		m a n	man			camacho2006
169		n a j a	939	DESIDERATIVE	Apurimac	naya		n a j a	naya			camacho2006
170		- - tʃ a -	976	DIMINUTIVE	Apurimac	cha		tʃ a	cha			camacho2006
171		tʃ ai	1036	DISTAL DEMONSTRATIVE	Apurimac	chay		tʃ ai	chay			camacho2006
172		h a q ai	1047	DISTAL REMOVED DEMONSTRATIVE	Apurimac	haqay		h a q ai	haqay			camacho2006
173		tʃ - k - - a	1062	PROGRESSIVE	Apurimac	chka		tʃ k a	chka			camacho2006
174		i k a + tʃ a	16	PROGRESSIVE	Apurimac	ykacha		i k a + tʃ a	ykacha			camacho2006
175		a r i	1095	EMPHATIC	Apurimac	ari		a r i	ari			camacho2006
176		tʃ a - -	18	EVIDENTIAL CONJECTURAL	Apurimac	cha		tʃ a	cha			camacho2006
177		m i	1157	EVIDENTIAL DIRECT	Apurimac	mi		m i	mi			camacho2006
178		i k i	1191	EVIDENTIAL MODIFIER (STRONGEST)	Apurimac	iki		i k i	iki			camacho2006
179		i - k u	1228	EXCEPTIONAL	Apurimac	yku		i k u	yku			camacho2006
180		p u r a	1256	EXCLUSIVE	Apurimac	pura		p u r a	pura			camacho2006
181		p a -	1315	GENITIVE	Apurimac	pa		p a	pa			camacho2006
182		r i	1397	INCEPTIVE	Apurimac	ri		r i	ri			camacho2006
183		j a -	1419	INCHOATIVE	Apurimac	ya		j a	ya			camacho2006
184		n - - t i n	1443	INCLUSIVE	Apurimac	ntin		n t i n	ntin			camacho2006
185		i	1362	INFINITIVE	Apurimac	y		i	y			camacho2006
186		tʃ u n	1486	INJUNCTIVE	Apurimac	chun		tʃ u n	chunku, y, ychis			camacho2006
188		j tʃ i s	1362	IMPERATIVE 1P	Apurimac	ychis		j tʃ i s	chunku, y, ychis			camacho2006
189		w a n	1507	INSTRUMENTAL-COMITATIVE	Apurimac	wan		w a n	wan			camacho2006
190		p i	1603	LOCATIVE	Apurimac	pi		p i	pi			camacho2006
191		k u	1637	MIDDLE VOICE	Apurimac	ku		k u	ku			camacho2006
192		s a p a	1656	MULTIPLE POSSESSIVE	Apurimac	sapa		s a p a	sapa			camacho2006
193		tʃ u	1682	NEGATION	Apurimac	chu		tʃ u	chu			camacho2006
194		n - a	1711	NOMINALIZER NA	Apurimac	na		n a	na			camacho2006
195		r q a	1770	PAST TENSE	Apurimac	rqa		r q a	rqa			camacho2006
196		r a l	1796	PECUNIAL	Apurimac	ral		r a l	ral			camacho2006
197		s q a	1800	PERFECT	Apurimac	sqa		s q a	sqa			camacho2006
198		s q a	1800	PERFECTIVIZER	Apurimac	sqa		s q a	sqa			camacho2006
199		s t i n	2097	SUBORDINATOR ADVERBIAL	Apurimac	stin		s t i n	stin			camacho2006
200		k u n a	1855	PLURAL	Apurimac	kuna		k u n a	kuna			camacho2006
201		- - j o q	1887	POSSESSIVE	Apurimac	yoq		j o q	yoq			camacho2006
202		k ai	1927	PROXIMAL DEMONSTRATIVE	Apurimac	kay		k ai	kay			camacho2006
203		ɾ ai k u	1948	REASON	Apurimac	rayku		ɾ ai k u	rayku			camacho2006
205		n a k u	1976	RECIPROCAL	Apurimac	naku		n a k u	naku			camacho2006
206		p a - -	2008	REPETITIVE	Apurimac	pa		p a	pa, paya			camacho2006
207		p a j a	7	REPETITIVE	Apurimac	paya		p a j a	pa, paya			camacho2006
208		s q a	2021	REPORTATIVE PAST TENSE	Apurimac	sqa		s q a	sqa			camacho2006
209		ʎ - a	2039	RESTRICTIVE	Apurimac	lla		ʎ a	lla, kama			camacho2006
210		k a m a	1578	LIMITATIVE	Apurimac	kama		k a m a	lla, kama			camacho2006
211		t a q	2063	SEQUENTIAL	Apurimac	taq		t a q	taq			camacho2006
213		s p a - - -	2113	SUBORDINATOR IDSUB	Apurimac	spa		s p a	spa			camacho2006
214		p t i -	2144	SUBORDINATOR DIFFSUB	Apurimac	pti		p t i	pti			camacho2006
215		r q u	2234	URGENT	Apurimac	rqu		r q u	rqu			camacho2006
216		p u	2201	VERBAL BENEFACTIVE	Apurimac	pu		p u	pu			camacho2006
217		ɲ a	1019	DISCONTINUATIVE	Apurimac	ña		ɲ a	ña			camacho2006
219		j - k i	24	1S SUBJECT 2S OBJECT	Ayacucho	yki		j k i	yki			parker1969
221		n tʃ i k	58	1PL POSSESSOR	Ayacucho	nčik		n tʃ i k	nčik			parker1969
222		- - n tʃ i k	58	1PL VERBAL	Ayacucho	nčik		n tʃ i k	nčik			parker1969
223		tʃ + w a n	111 3	1PL VERBAL CONDITIONAL	Ayacucho	čwan		tʃ + w a n	čwan			parker1969
224		s u n - - - -	111	1PL VERBAL FUTURE	Ayacucho	sun		s u n	sun			parker1969
225		t a n t a + j	155 156	1S POSSESSOR	Ayacucho	tanta-y		t a n t a + j	tanta-y		ku for plural	parker1969
227		s a + j k i	210 24	1S SUBJECT 2S OBJECT FUTURE	Ayacucho	sayki		s a + j k i	sayki, sqayki			parker1969
228		s χ a + j k i	210 24	1S SUBJECT 2S OBJECT FUTURE	Ayacucho	sqayki		s χ a + j k i	sayki, sqayki			parker1969
229		k a + n i	234 235	1S VERBAL	Ayacucho	ka-ni		k a + n i	ka-ni		ku for plural	parker1969
230		s - a χ	280	1S VERBAL FUTURE	Ayacucho	saq		s a χ	saq			parker1969
233		w a χ	325	2S CONDITIONAL	Ayacucho	waq		w a χ	waq			parker1969
234		j k i	348	2S POSSESSOR	Ayacucho	yki		j k i	yki		ku for plural	parker1969
235		w a + n k i	3 370	2S SUBJECT 1S OBJECT	Ayacucho	wanki		w a + n k i	wanki			parker1969
236		n - k i	370	2S VERBAL	Ayacucho	nki		n k i	nki			parker1969
237		n χ a	446	3S FUTURE	Ayacucho	nqa		n χ a	nqa		-qa for all future forms	parker1969
238		n	466	3S POSSESSOR	Ayacucho	n		n	n		ku for plural	parker1969
239		w a + n tʃ i k	3 486	3S SUBJECT 1PL OBJECT	Ayacucho	wančik		w a + n tʃ i k	wančik			parker1969
243		w a + n	3 546	3S SUBJECT 1S OBJECT	Ayacucho	wan		w a + n	wan			parker1969
244		s u + n k i	337 528	3S SUBJECT 2S OBJECT	Ayacucho	sunki		s u + n k i	sunki			parker1969
246		n	546	3S VERBAL	Ayacucho	n		n	n		ku for plural	parker1969
247		m a n t a	571	ABLATIVE	Ayacucho	manta		m a n t a	manta			parker1969
248		- s i	598	ACCOMPANIMENT	Ayacucho	si		s i	si			parker1969
249		- t a	614	ACCUSATIVE	Ayacucho	ta		t a	ta			parker1969
250		p a s	639	ADDITIVE	Ayacucho	pas		p a s	pas			parker1969
251		χ	674	AGENTIVE	Ayacucho	q		χ	q			parker1969
252		i k i	1191	EVIDENTIAL MODIFIER (STRONGEST)	Ayacucho	iki		i k i	iki		"bedauernd"	parker1969
253		s u - -	710	AUGMENTATIVE	Ayacucho	su		s u	su, yku,yka		yku: verbal augmentative	parker1969
254		j k u	712	AUGMENTATIVE	Ayacucho	yku		j k u	su, yku,yka		yku: verbal augmentative	parker1969
255		j k a	712	AUGMENTATIVE	Ayacucho	yka		j k a	su, yku,yka		yku: verbal augmentative	parker1969
256		p a χ -	720	BENEFACTIVE	Ayacucho	paq		p a χ	paq			parker1969
257		tʃ i	766	CAUSATIVE	Ayacucho	či		tʃ i	či			parker1969
258		p u n i	787	ASSERTIVE	Ayacucho	puni		p u n i	puni			parker1969
259		m u	800	CISLOCATIVE	Ayacucho	mu		m u	mu			parker1969
260		h i n a -	824	COMPARATIVE	Ayacucho	hina		h i n a	hina			parker1969
261		m a n	853	CONDITIONAL	Ayacucho	man		m a n	man			parker1969
262		ɾ a χ -	877	CONTINUATIVE	Ayacucho	raq		ɾ a χ	raq			parker1969
263		ɾ a j a	8	UNINTERRUPTED ACTION	Ayacucho	raya		ɾ a j a	raya			parker1969
264		m a n	911	DATIVE/ILATIVE	Ayacucho	man		m a n	man			parker1969
265		k u tʃ a	974	DIFFUSION	Ayacucho	kUča		k u tʃ a	kUča		diffusion in space, time and importance, idiomatic and fully productive; U	parker1969
266		- - tʃ a -	976	DIMINUTIVE	Ayacucho	ča		tʃ a	ča			parker1969
267		n k a	1054	DISTRIBUTIVE	Ayacucho	nka		n k a	nka		quantifying: distribution or receiving	parker1969
268		tʃ - k - - a	1062	PROGRESSIVE	Ayacucho	čka		tʃ k a	čka			parker1969
269		a -	20	INTENSIFIER	Ayacucho	á		a	á, ya		ya: regretting	parker1969
272		tʃ a - -	18	EVIDENTIAL CONJECTURAL	Ayacucho	ča		tʃ a	č, ča			parker1969
273		m i	1157	EVIDENTIAL DIRECT	Ayacucho	mi		m i	mi			parker1969
274		s - -	1198	EVIDENTIAL REPORTATIVE	Ayacucho	s		s	s, si			parker1969
275		s - i	1198	EVIDENTIAL REPORTATIVE	Ayacucho	si		s i	s, si			parker1969
276		p u ɾ a	1256	EXCLUSIVE	Ayacucho	pura		p u ɾ a	pura		"among houses"	parker1969
277		tʃ a -	1272	FACTIVE	Ayacucho	ča		tʃ a	ča		deriving verb	parker1969
278		p a -	1315	GENITIVE	Ayacucho	pa		p a	pa			parker1969
279		i - -	1362	IMPERATIVE	Ayacucho	y		i	y			parker1969
280		ɾ i	1397	INCEPTIVE	Ayacucho	ri		ɾ i	ri			parker1969
281		j a -	1419	INCHOATIVE	Ayacucho	ya		j a	ya			parker1969
282		n - - t i n	1443	INCLUSIVE	Ayacucho	ntin		n t i n	ntin			parker1969
283		i	1362	INFINITIVE	Ayacucho	y		i	y			parker1969
284		w a n	1507	INSTRUMENTAL-COMITATIVE	Ayacucho	wan		w a n	wan			parker1969
285		j a	20	INTENSIFIER	Ayacucho	ya		j a	ya			parker1969
286		k a m a -	1578	LIMITATIVE	Ayacucho	kama		k a m a	kama			parker1969
287		p i	1603	LOCATIVE	Ayacucho	pi		p i	pi			parker1969
288		k u	1637	MIDDLE VOICE	Ayacucho	ku		k u	ku			parker1969
289		s a p a	1656	MULTIPLE POSSESSIVE	Ayacucho	sapa		s a p a	sapa			parker1969
290		tʃ u	1682	NEGATION	Ayacucho	ču		tʃ u	ču			parker1969
291		n - a	1711	NOMINALIZER NA	Ayacucho	na		n a	na			parker1969
292		ɾ χ a	1770	PAST TENSE	Ayacucho	rqa		ɾ χ a	rqa			parker1969
293		r a l	1796	PECUNIAL	Ayacucho	řal		r a l	řal			parker1969
294		s χ a	1800	PERFECT	Ayacucho	sqa		s χ a	sqa			parker1969
295		s χ a	1800	PERFECTIVIZER	Ayacucho	sqa		s χ a	sqa			parker1969
296		k u n a	1855	PLURAL	Ayacucho	kuna		k u n a	kuna			parker1969
297		- - j u χ	1887	POSSESSIVE	Ayacucho	yuq		j u χ	yuq			parker1969
298		ɾ ai k u	1948	REASON	Ayacucho	rayku		ɾ ai k u	rayku			parker1969
299		n a k u	1976	RECIPROCAL	Ayacucho	naku		n a k u	naku			parker1969
300		p a - -	2008	REPETITIVE	Ayacucho	pa		p a	pa			parker1969
301		s χ a	2021	REPORTATIVE PAST TENSE	Ayacucho	sqa		s χ a	sqa			parker1969
302		ʎ - a	2039	RESTRICTIVE	Ayacucho	lla		ʎ a	lla		just a house	parker1969
303		t a χ	2063	SEQUENTIAL	Ayacucho	taq		t a χ	taq			parker1969
304		- - t i	32	SIMULATIVE	Ayacucho	ti		t i	ti			parker1969
305		s t i -	2097	SUBORDINATOR ADVERBIAL	Ayacucho	sti		s t i	sti			parker1969
306		s p a - - -	2113	SUBORDINATOR IDSUB	Ayacucho	spa		s p a	spa			parker1969
307		p t i -	2144	SUBORDINATOR DIFFSUB	Ayacucho	pti		p t i	pti			parker1969
308		χ a	2178	TOPIC	Ayacucho	qa		χ a	qa			parker1969
309		ɾ a	11	UNINTERRUPTED ACTION	Ayacucho	ra		ɾ a	ra			parker1969
310		ɾ χ u	2234	URGENT	Ayacucho	rqu		ɾ χ u	rqu		urgency or personal interest	parker1969
311		p u	2201	VERBAL BENEFACTIVE	Ayacucho	pu		p u	pu			parker1969
312		ɲ a	1019	DISCONTINUATIVE	Ayacucho	ña		ɲ a	ña			parker1969
313		j - k i	24	1S SUBJECT 2S OBJECT	Azuay	yqui		j k i	yqui		singular	cordero1955
314		- - n tʃ i -	58	1PL VERBAL	Azuay	nchi		n tʃ i	nchi			cordero1955
315		s u n + tʃ i	111 58	1PL VERBAL FUTURE	Azuay	sunchi		s u n + tʃ i	sunchi			cordero1955
317		s q a + k i	210 24	1S SUBJECT 2S OBJECT FUTURE	Azuay	scaqui		s q a + k i	scaqui			cordero1955
318		k a + n i	234 235	1S VERBAL	Azuay	ka-ni		k a + n i	ka-ni			cordero1955
319		s - a -	280	1S VERBAL FUTURE	Azuay	sa		s a	sa			cordero1955
321		n - g i	370	2S VERBAL	Azuay	ngui		n g i	ngui			cordero1955
325		n g a	446	3S FUTURE	Azuay	nga		n g a	nga			cordero1955
326		n	546	3S VERBAL	Azuay	n		n	n		no se marca siempre	cordero1955
327		m a n d a	571	ABLATIVE	Azuay	manda		m a n d a	manda			cordero1955
328		- t a	614	ACCUSATIVE	Azuay	ta		t a	ta			cordero1955
329		p a s	639	ADDITIVE	Azuay	pas		p a s	pas			cordero1955
330		g	674	AGENTIVE	Azuay	g		g	g			cordero1955
331		p a	2201	VERBAL BENEFACTIVE	Azuay	pa		p a	pua			cordero1955
332		t a - -	754	INTERROGATION	Azuay	ta		t a	ta			cordero1955
333		m u	800	CISLOCATIVE	Azuay	mu		m u	mu			cordero1955
334		k o m o	825	COMPARATIVE	Azuay	como		k o m o	como	esp		cordero1955
335		n t ɾ a	854	CONDITIONAL	Azuay	ntra		n t ɾ a	ntra			cordero1955
336		ɾ a j a	8	UNINTERRUPTED ACTION	Azuay	raya		ɾ a j a	raya			cordero1955
337		k -	905	CONTRASTIVE	Azuay	c		k	c, ca		llevé a Pacho. A María no	cordero1955
338		k a	905	CONTRASTIVE	Azuay	ca		k a	c, ca		llevé a Pacho. A María no	cordero1955
339		m a -	911	DATIVE/ILATIVE	Azuay	ma		m a	ma			cordero1955
341		n a j a	939	DESIDERATIVE	Azuay	naya		n a j a	naya			cordero1955
342		a g	961	DESPECTIVE	Azuay	ag		a g	ag, ash, ans		personas despreciadas	cordero1955
343		a - ʃ	962	DESPECTIVE	Azuay	ash		a ʃ	ag, ash, ans		personas despreciadas	cordero1955
